,ID,taxon,variable,value,a1,a2,a3,a4,type,HSI
0,BB1/9,Baetidae,Temperature,26.46,21.482,24.805,27.01,29.478,acute,1.0
1,BB2/9,Baetidae,Temperature,26.79,21.482,24.805,27.01,29.478,acute,1.0
2,BB3/9,Baetidae,Temperature,25.14,21.482,24.805,27.01,29.478,acute,1.0
3,BB4/9,Baetidae,Temperature,24.16,21.482,24.805,27.01,29.478,acute,0.805898284683
4,BH1/17,Baetidae,Temperature,25.76,21.482,24.805,27.01,29.478,acute,1.0
5,BH2/17,Baetidae,Temperature,26.48,21.482,24.805,27.01,29.478,acute,1.0
6,BH3/17,Baetidae,Temperature,26.01,21.482,24.805,27.01,29.478,acute,1.0
7,BH4/17,Baetidae,Temperature,26.39,21.482,24.805,27.01,29.478,acute,1.0
8,BH5/17,Baetidae,Temperature,28.42,21.482,24.805,27.01,29.478,acute,0.42868719611
9,BH6/26,Baetidae,Temperature,26.06,21.482,24.805,27.01,29.478,acute,1.0
10,C1/20,Baetidae,Temperature,25.3,21.482,24.805,27.01,29.478,acute,1.0
11,C2/20,Baetidae,Temperature,24.7,21.482,24.805,27.01,29.478,acute,0.968402046344
12,C3/20,Baetidae,Temperature,24.92,21.482,24.805,27.01,29.478,acute,1.0
13,C4/20,Baetidae,Temperature,22.9,21.482,24.805,27.01,29.478,acute,0.426722840806
14,C5/20,Baetidae,Temperature,21.38,21.482,24.805,27.01,29.478,acute,0.0
15,C6/20,Baetidae,Temperature,20.55,21.482,24.805,27.01,29.478,acute,0.0
16,C7/20,Baetidae,Temperature,19.93,21.482,24.805,27.01,29.478,acute,0.0
17,DPR4,Baetidae,Temperature,28.21,21.482,24.805,27.01,29.478,acute,0.513776337115
18,DPR5,Baetidae,Temperature,27.53,21.482,24.805,27.01,29.478,acute,0.789303079417
19,DS1/4,Baetidae,Temperature,27.48,21.482,24.805,27.01,29.478,acute,0.809562398703
20,DS1/5,Baetidae,Temperature,25.64,21.482,24.805,27.01,29.478,acute,1.0
21,DS10/23,Baetidae,Temperature,34.0,21.482,24.805,27.01,29.478,acute,0.0
22,DS11/23,Baetidae,Temperature,32.22,21.482,24.805,27.01,29.478,acute,0.0
23,DS12/23,Baetidae,Temperature,30.96,21.482,24.805,27.01,29.478,acute,0.0
24,DS13/23,Baetidae,Temperature,29.07,21.482,24.805,27.01,29.478,acute,0.165316045381
25,DS14/24,Baetidae,Temperature,23.76,21.482,24.805,27.01,29.478,acute,0.685525127896
26,DS15/24,Baetidae,Temperature,25.57,21.482,24.805,27.01,29.478,acute,1.0
27,DS16/24,Baetidae,Temperature,24.61,21.482,24.805,27.01,29.478,acute,0.941318086067
28,DS17/24,Baetidae,Temperature,25.1,21.482,24.805,27.01,29.478,acute,1.0
29,DS18/24,Baetidae,Temperature,26.38,21.482,24.805,27.01,29.478,acute,1.0
30,DS19/24,Baetidae,Temperature,22.06,21.482,24.805,27.01,29.478,acute,0.173939211556
31,DS2/4,Baetidae,Temperature,28.86,21.482,24.805,27.01,29.478,acute,0.250405186386
32,DS2/5,Baetidae,Temperature,25.64,21.482,24.805,27.01,29.478,acute,1.0
33,DS20/24,Baetidae,Temperature,23.59,21.482,24.805,27.01,29.478,acute,0.634366536262
34,DS21/24,Baetidae,Temperature,24.0,21.482,24.805,27.01,29.478,acute,0.757749021968
35,DS22/25,Baetidae,Temperature,26.14,21.482,24.805,27.01,29.478,acute,1.0
36,DS23/25,Baetidae,Temperature,25.49,21.482,24.805,27.01,29.478,acute,1.0
37,DS24/25,Baetidae,Temperature,25.03,21.482,24.805,27.01,29.478,acute,1.0
38,DS25/25,Baetidae,Temperature,25.13,21.482,24.805,27.01,29.478,acute,1.0
39,DS26/25,Baetidae,Temperature,24.94,21.482,24.805,27.01,29.478,acute,1.0
40,DS27/25,Baetidae,Temperature,24.83,21.482,24.805,27.01,29.478,acute,1.0
41,DS28/25,Baetidae,Temperature,25.9,21.482,24.805,27.01,29.478,acute,1.0
42,DS29/26,Baetidae,Temperature,25.61,21.482,24.805,27.01,29.478,acute,1.0
43,DS3/4,Baetidae,Temperature,27.35,21.482,24.805,27.01,29.478,acute,0.862236628849
44,DS3/5,Baetidae,Temperature,25.88,21.482,24.805,27.01,29.478,acute,1.0
45,DS30/26,Baetidae,Temperature,26.21,21.482,24.805,27.01,29.478,acute,1.0
46,DS31/26,Baetidae,Temperature,27.01,21.482,24.805,27.01,29.478,acute,1.0
47,DS32/26,Baetidae,Temperature,27.01,21.482,24.805,27.01,29.478,acute,1.0
48,DS33/26,Baetidae,Temperature,26.08,21.482,24.805,27.01,29.478,acute,1.0
49,DS4/4,Baetidae,Temperature,26.68,21.482,24.805,27.01,29.478,acute,1.0
50,DS4/5,Baetidae,Temperature,25.71,21.482,24.805,27.01,29.478,acute,1.0
51,DS5/4,Baetidae,Temperature,26.08,21.482,24.805,27.01,29.478,acute,1.0
52,DS5/5,Baetidae,Temperature,24.43,21.482,24.805,27.01,29.478,acute,0.887150165513
53,DS6/4,Baetidae,Temperature,26.79,21.482,24.805,27.01,29.478,acute,1.0
54,DS6/5,Baetidae,Temperature,24.97,21.482,24.805,27.01,29.478,acute,1.0
55,DS7/23,Baetidae,Temperature,29.27,21.482,24.805,27.01,29.478,acute,0.0842787682334
56,DS8/23,Baetidae,Temperature,32.61,21.482,24.805,27.01,29.478,acute,0.0
57,DS9/23,Baetidae,Temperature,30.38,21.482,24.805,27.01,29.478,acute,0.0
58,M1/18,Baetidae,Temperature,20.78,21.482,24.805,27.01,29.478,acute,0.0
59,M2/18,Baetidae,Temperature,21.26,21.482,24.805,27.01,29.478,acute,0.0
60,M3/18,Baetidae,Temperature,21.27,21.482,24.805,27.01,29.478,acute,0.0
61,M4/18,Baetidae,Temperature,20.73,21.482,24.805,27.01,29.478,acute,0.0
62,M5/18,Baetidae,Temperature,19.04,21.482,24.805,27.01,29.478,acute,0.0
63,M6/18,Baetidae,Temperature,24.99,21.482,24.805,27.01,29.478,acute,1.0
64,Q1/12,Baetidae,Temperature,26.2,21.482,24.805,27.01,29.478,acute,1.0
65,R1/6,Baetidae,Temperature,25.62,21.482,24.805,27.01,29.478,acute,1.0
66,R10/12,Baetidae,Temperature,28.91,21.482,24.805,27.01,29.478,acute,0.230145867099
67,R11/12,Baetidae,Temperature,28.51,21.482,24.805,27.01,29.478,acute,0.392220421394
68,R12/12,Baetidae,Temperature,27.87,21.482,24.805,27.01,29.478,acute,0.651539708266
69,R13/12,Baetidae,Temperature,28.71,21.482,24.805,27.01,29.478,acute,0.311183144246
70,R14/12,Baetidae,Temperature,29.24,21.482,24.805,27.01,29.478,acute,0.0964343598055
71,R15/12,Baetidae,Temperature,28.53,21.482,24.805,27.01,29.478,acute,0.384116693679
72,R16/12,Baetidae,Temperature,29.52,21.482,24.805,27.01,29.478,acute,0.0
73,R17/12,Baetidae,Temperature,29.74,21.482,24.805,27.01,29.478,acute,0.0
74,R18/12,Baetidae,Temperature,29.64,21.482,24.805,27.01,29.478,acute,0.0
75,R19/13,Baetidae,Temperature,26.54,21.482,24.805,27.01,29.478,acute,1.0
76,R2/6,Baetidae,Temperature,27.09,21.482,24.805,27.01,29.478,acute,0.967585089141
77,R20/13,Baetidae,Temperature,26.59,21.482,24.805,27.01,29.478,acute,1.0
78,R21/13,Baetidae,Temperature,26.51,21.482,24.805,27.01,29.478,acute,1.0
79,R22/13,Baetidae,Temperature,26.81,21.482,24.805,27.01,29.478,acute,1.0
80,R23/13,Baetidae,Temperature,26.77,21.482,24.805,27.01,29.478,acute,1.0
81,R24/13,Baetidae,Temperature,26.82,21.482,24.805,27.01,29.478,acute,1.0
82,R25/13,Baetidae,Temperature,26.69,21.482,24.805,27.01,29.478,acute,1.0
83,R26/13,Baetidae,Temperature,27.01,21.482,24.805,27.01,29.478,acute,1.0
84,R27/13,Baetidae,Temperature,27.38,21.482,24.805,27.01,29.478,acute,0.850081037277
85,R28/13,Baetidae,Temperature,26.65,21.482,24.805,27.01,29.478,acute,1.0
86,R29/13,Baetidae,Temperature,26.75,21.482,24.805,27.01,29.478,acute,1.0
87,R3/6,Baetidae,Temperature,27.79,21.482,24.805,27.01,29.478,acute,0.683954619125
88,R30/13,Baetidae,Temperature,27.05,21.482,24.805,27.01,29.478,acute,0.983792544571
