,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,SSE,threshold,K,AUC,N,TSS,Kappa,BIC,AIC,Sp,CCI,Sn,rank
0,0,2.036 2.550 17.318 20.567,0,0,0,0,0,0,0,0,0,0,130,True,59.338274621203546,0.125,4.0,0.4836774553571429,120.0,0.0,0.0,19.149966971128183,0.1813170103784787,0.375,0.5083333333333333,0.625,
1,0,2.036 2.550 17.318 20.567,0,0,0,0,0.029 0.091 0.289 1.900,0,0,0,0,0,138,True,61.153333021295495,0.15000000000000002,8.0,0.4786551339285715,120.0,0.020089285714285587,0.01960784313725492,38.29993394225637,9.070528564675595,0.6607142857142857,0.5,0.359375,
2,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,8.0,0.49581473214285715,120.0,-0.022321428571428603,-0.02234636871508383,38.29993394225637,9.106892667191584,0.44642857142857145,0.49166666666666664,0.53125,
3,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,8.0,0.49581473214285715,120.0,-0.022321428571428603,-0.02234636871508383,38.29993394225637,9.106892667191584,0.44642857142857145,0.49166666666666664,0.53125,
4,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,8.0,0.49581473214285715,120.0,-0.022321428571428603,-0.02234636871508383,38.29993394225637,9.106892667191584,0.44642857142857145,0.49166666666666664,0.53125,
5,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,37,False,60.051487248355144,0.025,8.0,0.49581473214285715,120.0,-0.022321428571428603,-0.02234636871508383,38.29993394225637,9.106892667191584,0.44642857142857145,0.49166666666666664,0.53125,
6,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,79,True,58.20487068284659,0.05,8.0,0.4958147321428571,120.0,0.1361607142857144,0.13525498891352558,38.29993394225637,9.169359217408513,0.5892857142857143,0.5666666666666667,0.546875,
7,0,0,0,63.476 187.064 224.639 309.470,0,0,0,0,0,0.117 1.850 14.460 78.512,0,0,79,True,58.20487068284659,0.05,8.0,0.4958147321428571,120.0,0.1361607142857144,0.13525498891352558,38.29993394225637,9.169359217408513,0.5892857142857143,0.5666666666666667,0.546875,
8,0,0,0,0,0,0,0,0,23.831 26.019 28.555 31.719,0,6.890 7.632 7.867 8.010,0,127,True,57.17849469947009,0.9500000000000001,8.0,0.4381975446428572,120.0,0.044642857142857206,0.041884816753926656,38.29993394225637,9.204941575497223,0.9821428571428571,0.49166666666666664,0.0625,
9,0,3.764 5.084 18.520 18.524,0,0,5.635 5.748 8.658 10.099,0,0,0,26.443 26.754 28.454 30.175,0,0,0,147,True,65.82871458236434,1.0,12.0,0.4443359375,120.0,0.0,0.0,57.44990091338455,18.5417755805287,1.0,0.4666666666666667,0.0,
