,variable,consider,name_sim,unit
0,Temperature,1,Temperature,$^\text{o}$C
1,Conductivity,1,Conductivity,$\micro$S cm$^{-1}$
2,TDS,0,TDS,
3,pH,1,pH,-
4,Chlorophyll,1,Chlorophyll,$\micro$g L$^{-1}$
5,Cl-,1,Cl-,mg L$^{-1}$
6,DO,1,DO,mg O$_2$ L$^{-1}$
7,DO Sat,0,DO Sat,%
8,Turbidity,1,Turbidity,NTU
9,COD,1,COD,mg O$_2$ L$^{-1}$
10,NO3--N,1,NO3--N,mg N L$^{-1}$
11,NH4+-N,1,NH4+-N,mg N L$^{-1}$
12,Elevation,1,Elevation,m a.s.l.
13,velocity,1,velocity,m s$^{-1}$
14,Variation in width,0,Variation in width,
15,Variation in flow,0,Variation in flow,
16,Sludge layer,0,Sludge layer,
17,Bank Slope,0,Bank Slope,
18,Boulder,0,Boulder,
19,Cobble,0,Cobble,
20,Gravel,0,Gravel,
21,Sand,0,Sand,
22,Silt&clay,0,Silt&clay,
23,Total N ,0,Total N ,
24,Total P ,0,Total P ,
