ID,X,Y,EQRclass,type,taxon,abundance,variable,value
BB1/9,677318,9932164,0,1,Baetidae,0,Temperature,26.46
BB1/9,677318,9932164,0,1,Baetidae,0,Conductivity,142
BB1/9,677318,9932164,0,1,Baetidae,0,TDS,0.09
BB1/9,677318,9932164,0,1,Baetidae,0,pH,7.2
BB1/9,677318,9932164,0,1,Baetidae,0,Chlorophyll,29.73
BB1/9,677318,9932164,0,1,Baetidae,0,Cl-,8.63
BB1/9,677318,9932164,0,1,Baetidae,0,DO,5.91
BB1/9,677318,9932164,0,1,Baetidae,0,DO Sat,73.48
BB1/9,677318,9932164,0,1,Baetidae,0,Turbidity,6.08
BB1/9,677318,9932164,0,1,Baetidae,0,COD,12.1
BB1/9,677318,9932164,0,1,Baetidae,0,Total N,1.71
BB1/9,677318,9932164,0,1,Baetidae,0,Total P,0.5
BB1/9,677318,9932164,0,1,Baetidae,0,NO3--N,0.5
BB1/9,677318,9932164,0,1,Baetidae,0,NO2--N,0.015
BB1/9,677318,9932164,0,1,Baetidae,0,NH4+-N,0.47
BB1/9,677318,9932164,0,1,Baetidae,0,Type of watercourse,1
BB1/9,677318,9932164,0,1,Baetidae,0,Forest,0
BB1/9,677318,9932164,0,1,Baetidae,0,arable,0
BB1/9,677318,9932164,0,1,Baetidae,0,residential,0
BB1/9,677318,9932164,0,1,Baetidae,0,orchard,1
BB1/9,677318,9932164,0,1,Baetidae,0,Main land use (field protocol),4
BB1/9,677318,9932164,0,1,Baetidae,0,Shading,0
BB1/9,677318,9932164,0,1,Baetidae,0,Abundance of macrophytes,0
BB1/9,677318,9932164,0,1,Baetidae,0,Submerged aquatic macrophytes,0
BB1/9,677318,9932164,0,1,Baetidae,0,Emerged aquatic macrophytes,0
BB1/9,677318,9932164,0,1,Baetidae,0,Floating aquatic macrophytes,0
BB1/9,677318,9932164,0,1,Baetidae,0,Main macrophytes,0
BB1/9,677318,9932164,0,1,Baetidae,0,Water hyacinth,0
BB1/9,677318,9932164,0,1,Baetidae,0,Valley form,3
BB1/9,677318,9932164,0,1,Baetidae,0,Channel form,5
BB1/9,677318,9932164,0,1,Baetidae,0,Variation in width,1
BB1/9,677318,9932164,0,1,Baetidae,0,Floodplain width,5
