,X,Y,taxon,date,abundance,value,ID,old_ID,variable
0,679191,9961529,Baetidae,nan,1,22.94,0,99,Temperature
1,679191,9961529,Baetidae,nan,1,93,0,99,Conductivity
2,679191,9961529,Baetidae,nan,1,7.51,0,99,pH
3,679191,9961529,Baetidae,nan,1,1.26,0,99,Chlorophyll
4,679191,9961529,Baetidae,nan,1,1.31,0,99,Cl-
5,679191,9961529,Baetidae,nan,1,7.8,0,99,DO
6,679191,9961529,Baetidae,nan,1,0.8,0,99,Turbidity
7,679191,9961529,Baetidae,nan,1,13.8,0,99,COD
8,679191,9961529,Baetidae,nan,1,0.33,0,99,NO3--N
9,679191,9961529,Baetidae,nan,1,0.05,0,99,NH4+-N
10,679191,9961529,Baetidae,nan,1,0.06,0,99,velocity
11,679191,9961529,Baetidae,nan,1,198,0,99,Elevation
12,650382,9814851,Baetidae,nan,3,27.01,1,47,Temperature
13,650382,9814851,Baetidae,nan,3,332,1,47,Conductivity
14,650382,9814851,Baetidae,nan,3,7.03,1,47,pH
15,650382,9814851,Baetidae,nan,3,5.25,1,47,Chlorophyll
16,650382,9814851,Baetidae,nan,3,0.95,1,47,Cl-
17,650382,9814851,Baetidae,nan,3,5.13,1,47,DO
18,650382,9814851,Baetidae,nan,3,1.5,1,47,Turbidity
19,650382,9814851,Baetidae,nan,3,36.8,1,47,COD
20,650382,9814851,Baetidae,nan,3,0.23,1,47,NO3--N
21,650382,9814851,Baetidae,nan,3,1.1,1,47,NH4+-N
22,650382,9814851,Baetidae,nan,3,0,1,47,velocity
23,650382,9814851,Baetidae,nan,3,9,1,47,Elevation
24,679454,9970238,Baetidae,nan,3,25.05,2,102,Temperature
25,679454,9970238,Baetidae,nan,3,124.67,2,102,Conductivity
26,679454,9970238,Baetidae,nan,3,8.15,2,102,pH
27,679454,9970238,Baetidae,nan,3,1.9,2,102,Chlorophyll
28,679454,9970238,Baetidae,nan,3,1.96,2,102,Cl-
29,679454,9970238,Baetidae,nan,3,8.24,2,102,DO
30,679454,9970238,Baetidae,nan,3,1.35,2,102,Turbidity
31,679454,9970238,Baetidae,nan,3,15.3,2,102,COD
32,679454,9970238,Baetidae,nan,3,0.58,2,102,NO3--N
33,679454,9970238,Baetidae,nan,3,0.03,2,102,NH4+-N
34,679454,9970238,Baetidae,nan,3,0.5,2,102,velocity
35,679454,9970238,Baetidae,nan,3,200,2,102,Elevation
36,698343,9826923,Baetidae,nan,5,21.38,3,14,Temperature
37,698343,9826923,Baetidae,nan,5,67,3,14,Conductivity
38,698343,9826923,Baetidae,nan,5,8.06,3,14,pH
39,698343,9826923,Baetidae,nan,5,1.17,3,14,Chlorophyll
40,698343,9826923,Baetidae,nan,5,1.21,3,14,Cl-
41,698343,9826923,Baetidae,nan,5,8.44,3,14,DO
42,698343,9826923,Baetidae,nan,5,0.2,3,14,Turbidity
43,698343,9826923,Baetidae,nan,5,5,3,14,COD
44,698343,9826923,Baetidae,nan,5,0.23,3,14,NO3--N
45,698343,9826923,Baetidae,nan,5,0.03,3,14,NH4+-N
46,698343,9826923,Baetidae,nan,5,0.8,3,14,velocity
