,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 19.040 26.688 32.220,0,0,0,3579,True,10.11258558790075,0.65234375,38.29993394225637,0.7,8.0,0.4078947368421052,120.0,36.319538773983936,0.59375,0.8214285714285714,0.4151785714285714,0.7000000000000001,
1,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,12.626 19.040 26.688 32.220,0,0,0,3561,True,10.11258558790075,0.65234375,38.29993394225637,0.7,8.0,0.4078947368421052,120.0,36.319538773983936,0.59375,0.8214285714285714,0.4151785714285714,0.7000000000000001,
2,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 19.058 25.644 32.220,0,0,0,3955,True,9.999138009117736,0.6467633928571428,38.29993394225637,0.6916666666666667,8.0,0.38401775804661487,120.0,38.43927195282139,0.671875,0.7142857142857143,0.3861607142857144,0.25,
3,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 19.058 25.644 32.220,0,0,0,3955,True,9.999138009117736,0.6467633928571428,38.29993394225637,0.6916666666666667,8.0,0.38401775804661487,120.0,38.43927195282139,0.671875,0.7142857142857143,0.3861607142857144,0.25,
4,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
5,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
6,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
7,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
8,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
9,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
10,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,9.854 19.058 25.644 32.220,0,0,0,3748,True,10.191733235785872,0.6587611607142857,38.29993394225637,0.6583333333333333,8.0,0.3219404630650497,120.0,34.91030405481352,0.59375,0.7321428571428571,0.3258928571428572,0.4,
11,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,10.001 19.464 25.951 28.216,0,0,0,3949,True,9.766296080187445,0.6460658482142857,38.29993394225637,0.6583333333333333,8.0,0.318936877076412,120.0,43.185319389783416,0.625,0.6964285714285714,0.3214285714285714,0.1,
12,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,10.001 19.464 25.951 28.216,0,0,0,3949,True,9.766296080187445,0.6460658482142857,38.29993394225637,0.6583333333333333,8.0,0.318936877076412,120.0,43.185319389783416,0.625,0.6964285714285714,0.3214285714285714,0.1,
13,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,10.001 19.464 25.951 28.216,0,0,0,3949,True,9.766296080187445,0.6460658482142857,38.29993394225637,0.6583333333333333,8.0,0.318936877076412,120.0,43.185319389783416,0.625,0.6964285714285714,0.3214285714285714,0.1,
14,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 19.566 28.212 32.220,0,0,0,3934,True,9.839887426349517,0.6150948660714286,38.29993394225637,0.6416666666666667,8.0,0.2777155655095185,120.0,41.62516596641879,0.6875,0.5892857142857143,0.2767857142857144,0.225,
15,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 20.297 31.188 39.194,0,0,0,3818,True,9.766937736378416,0.6123046875,38.29993394225637,0.6333333333333333,8.0,0.2715231788079469,120.0,43.17146654831981,0.578125,0.6964285714285714,0.2745535714285714,0.9500000000000001,
16,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 20.297 31.188 39.194,0,0,0,3818,True,9.766937736378416,0.6123046875,38.29993394225637,0.6333333333333333,8.0,0.2715231788079469,120.0,43.17146654831981,0.578125,0.6964285714285714,0.2745535714285714,0.9500000000000001,
17,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 20.297 31.188 39.194,0,0,0,3818,True,9.766937736378416,0.6123046875,38.29993394225637,0.6333333333333333,8.0,0.2715231788079469,120.0,43.17146654831981,0.578125,0.6964285714285714,0.2745535714285714,0.9500000000000001,
18,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 20.297 31.188 39.194,0,0,0,3818,True,9.766937736378416,0.6123046875,38.29993394225637,0.6333333333333333,8.0,0.2715231788079469,120.0,43.17146654831981,0.578125,0.6964285714285714,0.2745535714285714,0.9500000000000001,
19,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,19.040 20.297 31.188 39.194,0,0,0,3818,True,9.766937736378416,0.6123046875,38.29993394225637,0.6333333333333333,8.0,0.2715231788079469,120.0,43.17146654831981,0.578125,0.6964285714285714,0.2745535714285714,0.9500000000000001,
20,55.328 59.349 70.428 72.165,0,0,0,0,0,0,0,12.626 19.040 26.688 32.220,0,0,0,3846,True,9.60044945180239,0.6245814732142857,38.29993394225637,0.6333333333333333,8.0,0.2600896860986546,120.0,46.919056868784416,0.6875,0.5714285714285714,0.2589285714285714,0.05,
