,Unnamed: 0,taxon,value,type,b1,b2,b3,b4,low,high,a1,a2,a3,a4,variable
1,1,Baetidae,,continuous,36.5,208.0,80.65,749.25,36.5,1981.0,120.52415346338734,191.38018189714128,691.7357318552341,741.5054937279762,Conductivity
2,2,Baetidae,,continuous,6.69,8.16,7.18,8.8,6.56,8.87,7.001198703698838,7.728939965086612,7.875764478683369,7.96285859756332,pH
3,3,Baetidae,,continuous,0.73,5.6725,1.9225,25.43,0.73,66.84,1.8033486420178073,2.3151728536481073,7.7585775584078585,25.165349249078957,Chlorophyll
5,5,Baetidae,,continuous,1.97,8.2725,6.5875,10.65,1.97,13.63,4.056715764557922,4.302383849483569,9.730400499109358,10.06963198326698,DO
6,6,Baetidae,,continuous,0.2,5.07,1.3725,85.43,0.0,355.63,3.0540312555777787,4.109429082432501,17.5317412879358,31.326141359102106,Turbidity
7,7,Baetidae,,continuous,5.0,22.5,8.73,60.0,5.0,117.6,11.86657356210119,12.186081673993757,19.27624964043642,22.117588544361148,COD
8,8,Baetidae,,continuous,0.23,0.29,0.23,0.95,0.23,2.0,0.2517505065268012,0.2628566150316531,0.31051427487614464,0.4420205460150417,NO3--N
9,9,Baetidae,,continuous,0.02,0.095,0.03,1.26,0.015,8.8,0.0593471023097205,0.07293902013671494,0.2592986235433923,0.40986432631304714,NH4+-N
10,10,Baetidae,,continuous,0.0,0.4,0.0,1.0,0.0,1.5,0.08710328022050018,0.17337746218643868,0.3356281920852165,0.5222106685886981,velocity
11,11,Baetidae,,continuous,3.0,165.0,43.5,1075.0,2.0,1075.0,63.689669358826386,70.43450587453391,216.72936650074203,257.0762586244452,Elevation
