,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank,generation
0,12.997 18.396 19.050 57.248,0,0,48.156 157.356 240.132 715.476,0,12.558 119.848 270.147 305.695,0,0,24.108 25.941 26.097 31.874,0.231 2.470 3.824 47.047,7.045 7.274 7.708 8.327,0,41,False,52.50324778441032,0.5954241071428572,114.8998018267691,0.575,24.0,0.17475728155339798,120.0,58.21631148171445,0.359375,0.8214285714285714,0.1808035714285714,0.05,,0
1,9.950 16.759 44.342 48.137,0,0,39.861 67.713 390.356 410.250,0,20.837 121.389 163.939 654.044,0,0.273 0.284 0.775 0.866,19.116 23.183 27.531 30.921,0.721 2.078 25.242 79.359,0,0,39,False,52.54658300259413,0.5578962053571429,114.8998018267691,0.5333333333333333,24.0,0.11392405063291129,120.0,56.96847088276067,0.15625,0.9642857142857143,0.12053571428571441,0.25,,0
2,8.953 16.086 19.299 51.871,1.692 3.928 5.243 21.551,0,44.640 91.296 256.031 256.575,0,0,0.028 0.078 0.252 0.289,0,20.546 22.417 30.041 32.135,0,7.111 7.129 8.103 8.651,0,35,False,52.42710737562854,0.5393415178571429,114.8998018267691,0.5333333333333333,24.0,0.1063829787234043,120.0,60.47534648487633,0.21875,0.8928571428571429,0.1116071428571428,0.1,,0
3,10.395 17.378 24.927 38.872,0,0,0,3.455 7.169 8.178 8.321,0,0,0,0,1.211 2.524 16.091 36.923,7.647 7.856 8.040 8.150,0.054 0.090 0.123 0.244,6,False,40.1834556314449,0.5294363839285714,95.74983485564091,0.5,20.0,0.05660377358490571,120.0,63.478192816371056,0.078125,0.9821428571428571,0.060267857142857206,0.025,,0
4,0,1.764 4.293 19.678 21.506,1.186 1.266 28.150 40.116,166.521 191.476 199.082 440.154,0,0,0,0,0,0.944 3.213 43.494 52.605,7.511 7.853 8.718 8.799,0,19,False,40.23155799473154,0.5308314732142857,95.74983485564091,0.5,20.0,0.05660377358490571,120.0,61.96968073661625,0.078125,0.9821428571428571,0.060267857142857206,0.07500000000000001,,0
5,5.626 11.391 19.785 32.100,0,0,0,0,4.017 111.782 347.400 815.368,0,0,21.196 23.771 27.946 30.398,3.017 4.861 15.721 30.247,0,0,27,False,29.200157885337088,0.4720982142857143,76.59986788451273,0.5,16.0,0.054621848739495736,120.0,56.8660075841768,0.09375,0.9642857142857143,0.05803571428571441,0.55,,0
6,12.028 18.367 22.841 40.451,0,2.787 3.667 14.229 51.067,0,5.256 8.036 8.734 10.605,0,0,0,22.224 24.345 25.218 26.805,0.594 4.319 39.739 67.894,0,0,48,False,40.20847670827497,0.5221819196428572,95.74983485564091,0.5,20.0,0.05063291139240497,120.0,62.68899339480665,0.125,0.9285714285714286,0.0535714285714286,0.05,,0
7,0,0,0,167.085 200.820 494.190 627.974,0,0,0.021 0.066 0.120 0.355,0,20.139 22.746 25.061 25.129,0,0,0,31,False,18.702187007464218,0.5146484375,57.44990091338455,0.49166666666666664,12.0,0.04388714733542316,120.0,60.755063072286816,0.046875,1.0,0.046875,0.875,,0
8,9.243 11.884 22.501 54.920,3.783 4.136 11.342 22.311,3.014 3.583 5.713 18.160,0,0,58.921 63.040 284.163 553.995,0,0,0,0,7.495 7.709 8.320 8.644,0,47,False,40.22790042320071,0.5234375,95.74983485564091,0.49166666666666664,20.0,0.04388714733542316,120.0,62.083113697312136,0.046875,1.0,0.046875,0.07500000000000001,,0
9,0,1.856 2.826 8.506 14.722,1.680 3.157 11.562 37.104,87.450 146.066 163.504 163.796,2.081 2.871 7.856 8.546,41.240 116.564 317.626 348.977,0,0,0,1.460 5.069 35.142 85.052,0,0,32,False,52.35604546690048,0.5198102678571429,114.8998018267691,0.49166666666666664,24.0,0.039874081846799525,120.0,62.66272293128547,0.078125,0.9642857142857143,0.04241071428571441,0.025,,0
10,5.907 11.882 33.232 55.696,0,0,69.239 94.580 413.131 618.976,5.861 6.879 7.364 9.555,0,0,0,20.743 22.777 26.206 27.852,0,7.333 7.663 7.898 8.554,0.107 0.309 0.523 0.870,46,False,52.489624759058856,0.47823660714285715,114.8998018267691,0.49166666666666664,24.0,0.037854889589905294,120.0,58.61420621941545,0.09375,0.9464285714285714,0.0401785714285714,0.39999999999999997,,0
11,0,0,1.536 2.501 9.154 50.712,50.395 193.650 237.478 484.474,1.993 3.925 6.945 8.268,68.788 117.065 286.343 412.145,0.065 0.089 0.592 0.666,0,0,1.797 2.024 17.250 71.312,6.944 7.192 7.518 7.634,0.103 0.318 0.669 0.713,5,False,79.99080847207276,0.515625,153.19973576902547,0.48333333333333334,32.0,0.02922755741127357,120.0,62.96171217875297,0.03125,1.0,0.03125,0.15,,0
12,8.560 10.245 40.085 40.910,2.277 4.444 4.838 24.819,0,0,0,12.453 49.686 670.876 907.708,0.043 0.089 0.976 1.007,0,21.433 24.844 27.821 29.930,0,7.166 7.362 7.496 8.392,0,16,False,52.32975083116865,0.5086495535714286,114.8998018267691,0.49166666666666664,24.0,0.02969247083775173,120.0,63.492009167603385,0.15625,0.875,0.03125,0.0,,0
13,0,0,0,106.875 141.649 325.998 734.233,0,27.349 108.420 779.371 819.754,0.038 0.086 0.421 1.202,0,20.875 25.134 30.509 30.562,0,0,0.014 0.051 0.060 0.183,18,False,40.17069200845819,0.515625,95.74983485564091,0.48333333333333334,20.0,0.02922755741127357,120.0,63.884594085701146,0.03125,1.0,0.03125,0.0,,0
14,0,2.680 5.366 14.587 17.488,0,38.037 49.272 424.880 599.470,0,72.890 131.521 132.809 392.091,0.072 0.085 0.133 0.802,0.232 0.285 0.326 0.820,0,0.662 3.700 27.668 55.365,7.225 7.253 7.712 7.728,0.221 0.293 0.679 0.766,20,False,79.9834460233026,0.515625,153.19973576902547,0.48333333333333334,32.0,0.02922755741127357,120.0,63.19391550299785,0.03125,1.0,0.03125,0.1,,0
15,9.028 10.540 15.763 53.180,1.795 5.642 11.972 14.114,0,145.370 155.042 207.382 561.925,0,0,0,0,0,0,7.118 7.812 8.322 8.778,0.170 0.215 0.298 0.483,25,False,40.20179229465003,0.4810267857142857,95.74983485564091,0.48333333333333334,20.0,0.02922755741127357,120.0,62.89886349487655,0.03125,1.0,0.03125,0.125,,0
16,0,2.086 3.026 5.040 13.680,2.429 2.640 18.251 52.424,0,0,56.345 130.010 715.064 802.900,0.062 0.069 0.556 1.031,0.261 0.273 0.712 0.928,0,0.420 0.836 2.281 82.269,0,0.004 0.237 0.388 0.893,1,False,65.55988204750507,0.5078125,134.0497687978973,0.475,28.0,0.01459854014598539,120.0,63.00007389481317,0.015625,1.0,0.015625,0.475,,0
17,9.357 14.051 14.771 42.278,3.760 3.984 14.631 19.210,0.944 1.880 20.324 43.744,0,0,0,0,0.263 0.284 0.516 0.627,0,1.762 2.887 24.752 53.170,0,0.119 0.390 0.525 0.977,3,False,52.333734259064215,0.490234375,114.8998018267691,0.475,24.0,0.01459854014598539,120.0,63.36567709780694,0.015625,1.0,0.015625,0.375,,0
