,Unnamed: 0,taxon,value,type,b1,b2,b3,b4,low,high,a1,a2,a3,a4,variable
7,7,Baetidae,,continuous,3.0571543354167714,46.76162932738437,8.73,73.01580142970437,5.0,117.6,5.0,8.73,22.5,60.0,COD
3,3,Baetidae,,continuous,0.73,20.253380858707366,1.9225,36.49295960128573,0.73,66.84,0.73,1.9225,5.6725,25.43,Chlorophyll
4,4,Baetidae,,continuous,0.29576021377221595,27.604215995645966,1.86,66.17611533732052,0.53,181.74,0.53,1.86,3.7725,55.84,Cl-
1,1,Baetidae,,continuous,36.5,208.0,80.65,749.25,36.5,1981.0,36.5,80.65,208.0,749.25,Conductivity
5,5,Baetidae,,continuous,1.97,8.2725,6.5875,10.65,1.97,13.63,1.97,6.5875,8.2725,10.65,DO
11,11,Baetidae,,continuous,3.0,165.0,43.5,1485.9195833535377,2.0,1075.0,3.0,43.5,165.0,1075.0,Elevation
9,9,Baetidae,,continuous,0.02,0.095,0.03,1.26,0.015,8.8,0.02,0.03,0.095,1.26,NH4+-N
8,8,Baetidae,,continuous,0.13380881489844376,0.5428129668716698,0.23,1.4228066376983473,0.23,2.0,0.23,0.23,0.29,0.95,NO3--N
0,0,Baetidae,,continuous,13.188917866950256,27.01,24.805,32.22,19.04,34.0,19.04,24.805,27.01,32.22,Temperature
6,6,Baetidae,,continuous,0.2,5.07,1.3725,85.43,0.0,355.63,0.2,1.3725,5.07,85.43,Turbidity
2,2,Baetidae,,continuous,5.459034302209766,8.16,7.18,8.8,6.56,8.87,6.69,7.18,8.16,8.8,pH
10,10,Baetidae,,continuous,0.0,0.4,0.0,1.0,0.0,1.5,0.0,0.0,0.4,1.0,velocity
