,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank
0,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,0,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,634,True,53.03393315311112,0.7265624999999999,114.8998018267691,0.7083333333333334,24.0,0.4147157190635452,120.0,44.64859755686996,0.71875,0.6964285714285714,0.4151785714285714,0.0,
1,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
2,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
3,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
4,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
5,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
6,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
7,5.471 15.356 34.631 84.770,4.464 7.397 10.560 16.934,5.678 12.534 26.665 31.417,0,0,73.015 746.404 948.044 1473.345,1.068 1.115 1.429 1.783,0.152 0.553 1.183 1.420,14.968 21.501 28.296 45.550,0,0,0,561,True,66.13489518465687,0.6595982142857142,134.0497687978973,0.6416666666666667,28.0,0.29353778751369125,120.0,47.258348716703594,0.53125,0.7678571428571429,0.2991071428571428,0.025,
8,0,0,0,0,0,0,0,0.230 0.685 0.887 0.950,19.040 20.137 27.553 32.220,0.307 0.648 30.252 61.229,0,0,1835,True,19.113656296395224,0.5738002232142856,57.44990091338455,0.6333333333333333,12.0,0.24485125858123558,120.0,49.45760198720345,0.828125,0.4107142857142857,0.2388392857142856,0.1,
9,0,0,0,0,0,22.485 609.156 844.409 1027.715,0.016 0.138 0.187 0.198,0,17.494 20.757 27.764 38.282,0,0,0,1322,True,18.8583894032304,0.5643136160714286,57.44990091338455,0.6,12.0,0.17995444191343954,120.0,56.19058541824643,0.765625,0.4107142857142857,0.1763392857142856,0.0,
