,variable,type,low,b1,b2,b3,b4,high,a1,a2,a3,a4,sample,ID,generation
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,,,,,0,23,0
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,1.7107259800261378,5.442989567323455,21.472339921271853,22.173000015645055,<GA.substring object at 0x7f0de2511e10>,23,0
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,23,0
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,23,0
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,2.094663299959197,5.71467112177597,9.884859969390334,10.51096452881891,<GA.substring object at 0x7f0de2511f60>,23,0
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,72.08020146758278,84.34840214050361,158.88634236782906,241.0735115829009,<GA.substring object at 0x7f0de251b160>,23,0
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,23,0
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,23,0
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,24.061590576361493,24.964226786807455,25.693699351978918,26.94952678063174,<GA.substring object at 0x7f0de251b2e8>,23,0
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,23,0
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,7.190684329138695,7.853111773547621,8.062455921328148,8.12164184886945,<GA.substring object at 0x7f0de251b470>,23,0
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,23,0
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,34.02445938870464,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,1
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,1
4,Cl-,continuous,0.53,0.53,3.7725,1.86,55.84,181.74,,,,,0,86,1
1,Conductivity,continuous,36.5,36.5,208.0,80.65,749.25,1981.0,,,,,0,86,1
5,DO,continuous,1.97,1.97,8.2725,6.5875,10.65,13.63,,,,,0,86,1
11,Elevation,continuous,2.0,3.0,165.0,43.5,1075.0,1075.0,,,,,0,86,1
9,NH4+-N,continuous,0.015,0.02,0.095,0.03,1.26,8.8,,,,,0,86,1
8,NO3--N,continuous,0.23,0.23,0.29,0.23,0.95,2.0,,,,,0,86,1
0,Temperature,continuous,19.04,19.04,27.01,24.805,32.22,34.0,,,,,0,86,1
6,Turbidity,continuous,0.0,0.2,5.07,1.3725,85.43,355.63,,,,,0,86,1
2,pH,continuous,6.56,6.69,8.16,7.18,8.8,8.87,5.459034302209766,7.212448515189331,8.12709506400734,8.448244668339477,<GA.substring object at 0x7f0dd875f438>,86,1
10,velocity,continuous,0.0,0.0,0.4,0.0,1.0,1.5,,,,,0,86,1
7,COD,continuous,5.0,5.0,22.5,8.73,60.0,117.6,12.51655426316323,19.411800635642464,33.030900078319846,43.81337815298234,<GA.substring object at 0x7f0de2527240>,86,2
3,Chlorophyll,continuous,0.73,0.73,5.6725,1.9225,25.43,66.84,,,,,0,86,2
